Name;English;Russian;German;French;Italian;Spanish;Portuguese;Polish;Chinese Simplified;Japanese;Korean
category0;Animals;Животные;Tiere;Animaux;Animali;Animales;Animais;Zwierząt;动物;動物;동물
category1;Ocean;Океан;Ozean;Océan;Oceano;Oceano;Oceano;Ocean;海洋;海洋;대양
category2;Dinosaurs;Динозавры;Dinosaurier;Dinosaures;Dinosauri;Dinosaurios;Dinossauros;dinozaury;恐龙;恐竜;공룡
category3;Professions;Профессии;Berufe;Professions;Professioni;Profesiones;Profissões;Zawody;职业;職業;직업
category4;Birds;Птицы;Vögel;Oiseaux;Uccelli;Aves;Aves;Ptaki;鸟类;鳥類;조류
category5;Monsters;Монстры;Monster;Monstres;Mostri;Monstruos;Monstros;Potwory;怪物;モンスター;몬스터
category6;Houses;Домики;Häuser;Maisons;Case;Casas;Casas;Domy;房屋;家;주택
full version;Full Version;Полная версия;Vollversion;Version complète;Versione completa;Versión completa;Versão completa;Pełna wersja;完整版本;フルバージョン;정식 버전
for parents;For Parents;Для родителей;An die Eltern;Pour les parents;Per i genitori;Para los padres;Para pais;Dla rodziców;对于家长;保護者の方へ;부모님용
check age;Enter your birth year;Введите год рождения;Bitte Geburtsjahr eingeben;Entrez votre année de naissance;Inserisci l'anno di nascita;Escribe tu año de nacimiento;Escreve o teu ano de nascimento;Wpisz swój rok urodzenia;输入你的出生年份;生まれた年を入力してください;태어난 년도를 입력해주세요
rate us;Rate Us;Оценить игру;Bewerten;Notez-nous;Valutaci;Valóranos;Avalia-nos;Oceń grę;率我们;評価をお願いします;평가 남기기
contact us;Contact Us;Написать нам;Kontaktiere uns;Contactez-nous;Contattaci;Contáctenos;Entre em contato;Kontakt z nami;联系我们;お問い合わせ;문의하기
restore;Restore Purchases;Восстановить покупки;Käufe wiederherstellen;Restaurer les achats;Ripristina gli acquisti;Restaurar compras;Repor compras;Przywrócenie zakupów;恢复应用内购买;購入を復元;구매 복원하기
purchase full version;Full Version;Полная версия;Vollversion kaufen;Version complète;Versione completa;Versión completa;Versão completa;Pełna wersja;完整版本;フルバージョン;정식 버전 사용하기
privacy policy;Privacy Policy;Политика конфиденциальности;Datenschutzrichtlinie;Politique de confidentialité;Informativa sulla privacy;Política de privacidad;Política de privacidade;Polityka prywatności;隐私政策;プライバシーポリシー;개인정보 보호정책
website;Our website;Наш сайт;Unsere Website;Site web;Sito web;Nuestra web;Nosso site;Website;我们的网站;ウェブサイト;웹 사이트
open full version;Unlock;Открыть;Öffnen;Ouvrir;Sbloccare;Desbloquear;Desbloquear;Otwarty;开锁;ロックを解除するには;잠금을 해제하려면