Описание,Russian,English,German,French,Italian,Spanish,Portuguese,Polish,Chinese Simplified,Japanese,Korean
Название категории,Животные,Animals,Tiere,Animaux,Animali,Animales,Animais,Zwierząt,动物,動物,동물
Название категории,Океан,Ocean,Ozean,Océan,Oceano,Oceano,Oceano,Ocean,海洋,海洋,대양
Название категории,Динозавры,Dinosaurs,Dinosaurier,Dinosaures,Dinosauri,Dinosaurios,Dinossauros,dinozaury,恐龙,恐竜,공룡
Название категории,Профессии,Professions,Berufe,Les professions,Professioni,Profesiones,Profissões,Zawody,职业,職業,직업
Название категории,Птицы,Birds,Vögel,Des oiseaux,Uccelli,Aves,Aves,Ptaki,鸟类,鳥類,조류
Название категории,Монстры,Monsters,Monster,Monstres,Mostri,Monstruos,Monstros,Potwory,怪物,モンスター,몬스터
Название категории,Домики,Houses,Häuser,Maisons,Case,Casas,Casas,Domy,房屋,家,주택
Название покупки,Полная версия,Full Version,Vollversion,Version complète,Versione completa,Versión completa,Versão completa,Pełna wersja,完整版本,フルバージョン,정식 버전
"Кнопка меню ""Для родителей""",Для родителей,For Parents,An die Eltern,Pour les parents,Per i genitori,Para los padres,Para pais,Dla rodziców,对于家长,保護者の方へ,부모님용
Надпись на окне проверки возраста,Введите год рождения,enter your birth year,Bitte Geburtsjahr eingeben,Entrez votre année de naissance,Inserisci l'anno di nascita,Escribe tu año de nacimiento,Escreve o teu ano de nascimento,Wpisz swój rok urodzenia,输入你的出生年份,生まれた年を入力してください,태어난 년도를 입력해주세요
Кнопка в табличке меню Оценить нас,Оценить игру,Rate Us,Bewerten,Notez-nous,Valutaci,Valóranos,Avalia-nos,Oceń grę,率我们,評価をお願いします,평가 남기기
Кнопка в табличке меню Связаться с нами,Написать нам,Contact Us,Kontaktiere uns,Contactez-nous,Contattaci,Contáctenos,Entre em contato,Kontakt z nami,联系我们,お問い合わせ,문의하기
Кнопка в табличке меню восстановить покупки,Восстановить покупки,Restore Purchases,Käufe wiederherstellen,Restaurer les achats,Ripristina gli acquisti,Restaurar compras,Repor compras,Przywrócenie zakupów,恢复应用内购买,購入を復元,구매 복원하기
Кнопка в табличке меню покупка полной версии,Полная версия,Full Version,Vollversion kaufen,Version complète,Versione completa,Versión completa,Versão completa,Pełna wersja,完整版本,フルバージョン,정식 버전 사용하기
"Надпись в табличке меню ""Политика конфидециальности""",Политика конфиденциальности,Privacy Policy,Datenschutzrichtlinie,Politique de confidentialité,Informativa sulla privacy,Política de privacidad,Política de privacidade,Polityka prywatności,隐私政策,プライバシーポリシー,개인정보 보호정책
"Надпись в табличке меню ""Наш сайт""",Наш сайт,Our website,Unsere Website,Site web,Sito web,Nuestra web,Nosso site,Website,我们的网站,ウェブサイト,웹 사이트